;EAN;Désignation;Stock;PVC;;
False;3574661647579;$? LISTERINE DIENTES Y ENCIA 50;202;4.50;;
False;8718951567580;$? DENT.COLGATE ANTISARRO 75;78;1.95;;
False;3014260000318;$? GILLET ESPUMA CLASICA 200 ML;59;2.89;;
False;8717644158586;$? CHAM TIMOTEI ALMENDRAS 400;2;3.15;;
False;3574661647586;$ LISTERIN DIENTES Y ENCIAS 1 L;50;8.99;;
False;8470001673435;BAJA ORAL-B ENJUAG ANTICAR 500;12;3.99;;
False;8714789135243;$#? CEPIL COLGAT ZIG-ZAG MED 2+;5;2.99;;
False;8437014661903;COLONIA MEDITERRANEA  S3 600;13;3.95;;
False;8410496013750;KEMPHOR BLANC.TOTAL TUBO;78;2.95;;
False;8410225533689;$?  DEO SPRAY HENO DE PRAV 200;46;3.25;;
False;8001090742520;$? GILLETTE MACH3 MAQUINA;19;7.95;;
False;8411134138934;? CONTROL ADAPTA NATURE 24;24;10.95;;
False;8411047135761;$ AGUA ROSAS FRESCAS 150 ML;10;10.85;;
False;8411047135723;$ AIRE DE SEVILLA 150 ML;5;10.85;;
False;0000073103714;DEO STICK REXONA COLB.BLU 50 ML;15;2.95;;
False;8410496014757;$ KEMPHOR DIENTES SENSIBLES;73;2.95;;
False;8410213327108;$? CHAMPU GENIOL FRESA 750;47;2.59;;
False;8410213327405;$? CHAMPU GENIOL HUEVO 750;59;2.59;;
False;4027800509805; CARGAD.QUATTRO  SENSITIVE 4;11;10.95;;
False;8008970054346;$ VITESS TOALLI DESMAQ SENS 25;25;2.49;;
False;8008970054360;$ VITESS TOALLI DESMAQ MIXT 25;24;2.49;;
False;5701092103017;VEET CRE/DOSIFICA P.SENSI 400;10;9.95;;
False;8436038831125;EDT BABY TOUS EDC VAP 100;1;21.95;;
False;8411732484617;$? LIMA PROFE.UNAS 2 CARAS F;38;1.49;;
False;8411732484815;$ LIMA PEDICURA METALICA FU;23;2.99;;
False;8410412026246;CREMA FAC HIDR. 24H A.VER;3;6.95;;
False;8410412026239;CREMA ANTIARR AL. VERA 50;7;5.95;;
False;8410412430050;$ TOALLITAS ALOE VERA 20 UN;21;2.59;;
False;8410225509998;$? GEL HENO DE PRAVIA 750 ML;40;3.99;;
False;8410496003300;$ NECESER VIAJE ADULTO KEMP;14;4.45;;
False;8410496001801;KEMPHOR PACK 4 TUBOS 25;5;2.95;;
False;8411732353616;CEP.NEU.BIMAT.PUA BOL FUS;11;3.95;;
False;8420878000025;?PALA CHORIZO SARTA DLCE 250 GR;9;3.69;;
False;8420878000438;?PALA CHORIZO SARTA PICANT 250G;17;3.79;;
False;8437004964144;$ FERJU CECINA IGP LEON 100;10;6.49;;
False;8437004964632;$ ? FERJU LOMO 150 GR.;15;5.49;;
False;8410320105651;$ #? AOST MOUSSE PATO MED 2X100;82;3.99;;
False;8420962000757;GOIKOA J COCIDOEXTRAORD 125;4;2.49;;
False;8420962241518;$ GOIKOA P/PAVO EXTRAORDINA 125;13;2.49;;
False;8410320033503;$ # ? CAMP PIZZA JAMON-QUE 360;90;3.19;;
False;8410320033527;$ #?  CAMP PIZZA 4 QUESOS 365 ;78;3.19;;
False;8410320034319;$ #?  CAMP PIZZA BARBACOA 410 ;116;3.19;;
False;8410762250018;$ #?TARRAD MIX JAM-QUES 120+112;48;1.79;;
False;8420878001558;$ PALA CHORIZO OREADO 200G ;15;2.99;;
